date,product,region,revenue,units_sold,marketing_spend
2025-11-26,Laptop,US,11527.64,6,1710.8
2025-11-26,Phone,US,10318.7,17,2122.6
2025-11-26,Tablet,Europe,6006.53,11,1191.26
2025-11-26,Phone,Europe,3335.67,4,711.63
2025-11-26,Phone,Europe,4632.03,6,886.08
2025-11-26,Tablet,Europe,1157.7,3,485.36
2025-11-27,Phone,US,11941.09,15,1675.87
2025-11-27,Phone,Middle East,5320.59,9,871.43
2025-11-27,Laptop,India,4773.04,4,984.48
2025-11-27,Phone,Europe,10240.28,12,2393.73
2025-11-27,Smartwatch,Europe,8230.11,33,1467.97
2025-11-27,Phone,Middle East,4563.9,6,751.53
2025-11-27,Tablet,Europe,5623.67,9,1329.84
2025-11-27,Laptop,Asia,6344.45,5,1516.95
2025-11-27,Tablet,Asia,7842.92,17,3081.9
2025-11-27,Phone,US,14469.83,22,3401.94
2025-11-28,Phone,US,12752.89,16,3213.9
2025-11-28,Smartwatch,US,10317.06,34,1724.31
2025-11-28,Headphones,US,6743.69,50,1706.38
2025-11-28,Smartwatch,Europe,6862.05,21,2819.69
2025-11-28,Phone,Asia,6929.57,9,1055.45
2025-11-28,Phone,India,8478.81,10,1445.12
2025-11-28,Phone,India,12327.45,15,2131.67
2025-11-29,Laptop,US,12539.75,10,3372.78
2025-11-29,Phone,Middle East,2358.52,3,465.37
2025-11-29,Headphones,Europe,10140.53,81,1722.81
2025-11-29,Phone,India,9281.4,13,1305.83
2025-11-29,Smartwatch,Asia,9825.2,36,2123.11
2025-11-30,Laptop,Middle East,9037.98,5,1790.61
2025-11-30,Headphones,India,1000.0,6,221.62
2025-12-01,Phone,Middle East,3024.39,4,548.37
2025-12-01,Laptop,Middle East,6581.55,4,982.44
2025-12-01,Tablet,US,5376.77,11,1066.17
2025-12-02,Phone,India,9553.74,16,1805.82
2025-12-02,Phone,India,8667.49,13,1838.82
2025-12-02,Smartwatch,India,11338.69,33,2010.37
2025-12-02,Headphones,Asia,29605.01,161,4884.25
2025-12-03,Phone,Asia,11943.64,15,1891.4
2025-12-03,Laptop,India,5476.58,4,1266.82
2025-12-03,Laptop,US,7459.73,6,1156.39
2025-12-03,Headphones,India,5990.43,47,1508.37
2025-12-03,Phone,India,11839.32,14,2738.5
2025-12-04,Phone,Asia,2935.47,4,622.25
2025-12-04,Phone,US,3148.24,4,515.96
2025-12-04,Laptop,US,9451.71,7,2247.83
2025-12-04,Tablet,US,5868.88,12,820.94
2025-12-04,Phone,Europe,3645.6,6,486.9
2025-12-04,Smartwatch,US,14707.82,52,2706.31
2025-12-06,Laptop,Middle East,9529.56,5,1247.61
2025-12-06,Phone,India,4890.23,8,900.0
2025-12-06,Phone,Middle East,26820.43,33,3333.67
2025-12-07,Phone,Europe,13334.78,21,3381.87
2025-12-07,Smartwatch,India,1146.24,4,440.02
2025-12-07,Tablet,US,13467.83,27,2391.24
2025-12-08,Laptop,Asia,7284.09,6,1414.53
2025-12-09,Tablet,Asia,8081.24,19,1189.03
2025-12-09,Laptop,US,3482.58,3,880.04
2025-12-09,Headphones,Europe,2668.33,18,578.88
2025-12-09,Phone,Asia,5992.34,9,1046.97
2025-12-10,Tablet,Europe,1267.15,3,235.05
2025-12-10,Phone,India,3246.66,5,601.15
2025-12-10,Phone,Asia,3577.63,5,612.36
2025-12-10,Phone,US,2523.44,4,532.86
2025-12-10,Phone,Europe,19221.53,32,2934.32
2025-12-10,Phone,India,9655.69,15,1632.18
2025-12-11,Phone,India,8779.84,11,1628.47
2025-12-11,Smartwatch,US,10229.2,29,2277.03
2025-12-12,Phone,Middle East,2726.39,4,612.41
2025-12-12,Phone,US,13510.5,17,2318.28
2025-12-12,Headphones,US,7906.24,60,1315.94
2025-12-12,Headphones,India,1612.14,11,582.55
2025-12-13,Phone,Europe,22952.91,32,3641.25
2025-12-13,Laptop,Asia,8657.74,7,1225.11
2025-12-13,Tablet,US,7258.57,15,1375.53
2025-12-13,Phone,Europe,7478.95,11,1670.56
2025-12-14,Smartwatch,Asia,4817.52,16,1529.82
2025-12-14,Smartwatch,Europe,1000.0,3,192.71
2025-12-14,Phone,India,5375.18,9,902.12
2025-12-14,Phone,US,10009.46,13,2165.96
2025-12-14,Smartwatch,US,4880.19,19,928.41
2025-12-15,Laptop,US,4943.2,4,995.35
2025-12-15,Laptop,US,8056.17,5,1376.22
2025-12-15,Tablet,Middle East,8857.45,19,1180.42
2025-12-15,Tablet,US,9727.55,20,1645.42
2025-12-16,Smartwatch,US,7109.16,22,1675.18
2025-12-16,Smartwatch,Middle East,4120.47,16,1263.39
2025-12-16,Smartwatch,US,8779.7,24,1913.13
2025-12-16,Tablet,Asia,9115.65,16,2024.76
2025-12-16,Headphones,Europe,12245.96,82,2471.53
2025-12-17,Tablet,US,1959.51,4,398.17
2025-12-17,Tablet,Middle East,9881.63,20,2022.4
2025-12-17,Phone,Europe,6281.32,10,1067.65
